market_cap_rank,name,current_price,high_24h,low_24h,total_supply,circulating_supply,fully_diluted_valuation
1,Bitcoin,83483.0,83757.0,81362.0,19844584.0,19844584.0,1654423344174
2,Ethereum,1844.7,1848.44,1782.69,120657000.5417528,120657000.5417528,222260342989
3,Tether,0.9999,0.999988,0.999605,143937546292.6551,143937546292.6551,143922849939
4,XRP,2.12,2.17,2.04,99986304107.0,58205697378.0,211537770589
5,BNB,605.81,606.82,588.42,145887575.79,145887575.79,88293365751
6,Solana,126.29,127.5,122.95,597386671.7688968,512289612.187226,75433791071
7,USDC,0.9999,1.0,0.999751,60090760485.99465,60085122392.06317,60084261778
8,Dogecoin,0.1674,0.170773,0.160867,148659576383.7052,148658136383.7052,24836153308
9,Cardano,0.6607,0.673973,0.632468,45000000000.0,35988173820.26504,29672296204
10,TRON,0.2387,0.238393,0.230593,94991990616.1247,94991857022.67606,22647989167
11,Lido Staked Ether,1843.18,1847.47,1781.48,9377668.642105248,9377668.642105248,17278576296
12,Wrapped Bitcoin,83308.0,83706.0,81194.0,128915.05657878,128915.05657878,10737886139
13,Toncoin,4.13,4.13,3.79,5126058429.798493,2460275500.720945,21095963772
14,Chainlink,13.62,13.68,13.01,1000000000.0,638099971.4505637,13614435299
15,LEO Token,9.14,9.66,9.06,985239504.0,923828575.9,9007769489
16,Stellar,0.2673,0.269681,0.259563,50001786892.81792,30787159817.92081,13347817910
17,USDS,1.0,1.004,0.998358,8038077776.538338,8038077776.538338,8038355380
18,Wrapped stETH,2207.88,2216.57,2129.81,3604181.210337237,3604181.210337237,7949114537
19,Avalanche,18.92,19.32,18.23,451531402.7383144,414861927.9184226,8533049735
20,Shiba Inu,0.0,1.263e-05,1.201e-05,589504741223758.0,589250806010415.6,7372184051
21,Sui,2.3,2.38,2.2,10000000000.0,3169845047.483887,22982195054
22,Hedera,0.1644,0.172104,0.156834,50000000000.0,42220025920.54767,8213746520
23,Litecoin,83.53,86.6,81.09,75695183.23347135,75694664.48347135,6314001402
24,Polkadot,4.06,4.11,3.96,1522267060.0,1522267060.0,6182724333
25,MANTRA,6.26,6.33,6.14,1814202530.47,986458122.9299998,11349024924
26,Bitcoin Cash,304.33,305.46,290.34,19849618.64665078,19849596.77165078,6037330021
27,Bitget Token,4.49,4.59,4.41,1199999994.2,1199999994.2,5390223605
28,WETH,1843.24,1848.98,1777.68,2866023.271647417,2866023.271647417,5281646159
29,Ethena USDe,1.0,1.001,0.999186,5260940523.533215,5260940523.533215,5260692641
30,Binance Bridged USDT (BNB Smart Chain),0.9993,1.005,0.99431,5184994401.618545,5184994401.618545,5181530952
31,Pi Network,0.7193,0.778067,0.68196,10421279856.12224,6773831906.479458,7458712023
32,Hyperliquid,13.3,13.32,12.26,999990391.0,333928180.0,13281472573
33,Wrapped eETH,1959.72,1967.31,1888.67,2141909.276795435,2141909.276795435,4198504024
34,WhiteBIT Coin,28.26,28.47,28.04,328380962.0,144118517.10815412,9277955809
35,Monero,215.73,219.45,214.64,18446744.07370955,18446744.07370955,3977000894
36,Uniswap,6.0,6.03,5.76,1000000000.0,600483073.71,5998493735
37,Dai,0.9998,1.0,0.999158,3284876964.968702,3284876964.968702,3284271009
38,Aptos,5.35,5.42,5.09,1146224875.197353,604205256.3924166,6127653710
39,NEAR Protocol,2.6,2.66,2.48,1242781829.0,1198532098.0,3223108601
40,Pepe,0.0,7.26e-06,6.81e-06,420690000000000.0,420690000000000.0,3029416774
41,sUSDS,1.045,1.046,1.044,2850126834.646764,2850126834.646764,2978800237
42,OKB,48.29,48.55,47.42,235957685.3,60000000.0,11392596211
43,Gate,22.46,22.52,21.94,300000000.0,122910587.76765741,6739849269
44,Cronos,0.1006,0.105562,0.097996,97422742639.44608,27422742639.44608,9796417551
45,Coinbase Wrapped BTC,83468.0,83793.0,81329.0,32559.27056833,32559.27056833,2713068751
46,Mantle,0.7965,0.798232,0.770451,6219316794.99,3364694382.83684,4952332027
47,Tokenize Xchange,33.0,34.34,30.09,100000000.0,79995999.05112354,3298891840
48,First Digital USD,0.9985,1.003,0.990764,2588088088.167816,2588088088.167816,2584350071
49,Internet Computer,5.36,5.39,5.09,530959966.1749575,482083985.2716707,2842275405
50,Ethereum Classic,16.84,16.9,16.27,151338352.6532125,151338352.6532125,2549191126
51,Ondo,0.7867,0.806921,0.754492,10000000000.0,3159107529.0,7860910353
52,Aave,160.43,166.67,152.46,16000000.0,15094703.78230989,2565955117
53,Ethena Staked USDe,1.16,1.17,1.16,1931907117.204019,1931907117.204019,2249858283
54,Official Trump,10.16,10.29,9.91,1000000000.0,199999976.636,10152141668
55,Cosmos Hub,4.43,4.46,4.19,442838825.330379,442838825.330379,1956526797
56,VeChain,0.0228,0.02301193,0.02203173,85985041177.0,85985041177.0,1953710988
57,BlackRock USD Institutional Digital Liquidity Fund,1.0,1.0,1.0,1935377349.83,1935377349.83,1935377350
58,Bittensor,224.73,229.97,213.66,21000000.0,8533180.0,4711986531
59,Ethena,0.3542,0.376066,0.343592,15000000000.0,5285937500.0,5286847506
60,Celestia,3.13,3.3,3.09,1110890958.903765,581903466.009716,3481977631
61,Filecoin,2.79,2.8,2.71,1959587276.0,646503506.0,5456514896
62,Render,3.47,3.55,3.3,532476763.3362826,517716590.0562826,1847673225
64,POL (ex-MATIC),0.206,0.209289,0.200129,10392099602.65342,8619517293.877817,2140173584
63,Lombard Staked BTC,83502.0,83719.0,81203.0,21275.58118356795,21275.58118356795,1774774338
65,Fasttoken,4.02,4.05,3.99,870742437.0,430011837.0,3497564005
66,Kaspa,0.0656,0.06609,0.062149,25948090993.87996,25900045779.39798,1705480788
67,Algorand,0.18,0.183672,0.173,8536971282.440734,8536944002.813658,1535680566
68,Arbitrum,0.3325,0.335831,0.319144,10000000000.0,4617913336.0,3316525055
69,Sonic (prev. FTM),0.48,0.503827,0.460078,3175000000.0,3175000000.0,1521266994
70,KuCoin,11.16,11.2,11.02,142543917.8513356,122543917.8513356,1588575185
71,Story,5.1,5.39,4.73,1001876095.58,258827825.4,5073492312
72,Solv Protocol SolvBTC,83208.0,83616.0,81212.0,15686.18121151155,15684.6249674142,1306762276
73,Jupiter,0.4376,0.489226,0.43604,6999978147.923041,2790911111.1,3061223328
74,Optimism,0.7477,0.762038,0.721488,4294967296.0,1620705846.0,3208436112
75,Artificial Superintelligence Alliance,0.4606,0.479291,0.445265,2714493896.672,2604959126.672,1248577252
76,Kelp DAO Restaked ETH,1920.6,1922.77,1854.35,590233.6972979084,590233.6972979084,1133582180
78,Maker,1329.19,1327.12,1257.15,870799.0373514347,844580.2400447894,1152894627
77,Binance-Peg WETH,1841.62,1849.08,1775.96,604999.999959841,604999.999959841,1114262365
79,XDC Network,0.0689,0.069671,0.066071,37982128155.9,15698596838.4,2618431930
80,NEXO,1.046,1.076,1.037,1000000000.0,1000000000.0,1046017878
81,Binance Staked SOL,131.86,132.83,128.27,7801004.306132224,7801004.306132224,1029194189
82,DeXe,17.64,17.8,17.36,96504599.33609451,57103774.56313077,1702364531
84,Quant,68.81,70.11,66.86,14612493.0,14544176.164091088,1005258223
83,Movement,0.4071,0.436333,0.400278,10000000000.0,2450000000.0,4081740790
85,USDT0,1.001,1.006,0.995162,976505262.390794,976505262.390794,977167587
87,Worldcoin,0.7818,0.794008,0.747926,10000000000.0,1217206733.620258,7817984144
86,Immutable,0.5313,0.546627,0.520615,2000000000.0,1792834764.3898141,1061071708
88,EOS,0.6266,0.647074,0.575334,2100000000.0,1516885789.1746,1315668959
89,Stacks,0.6164,0.628712,0.593426,1519387127.22014,1519376137.22014,935180632
